country,country_code,year,parameter,value,unit,source
Lao People's Democratic Republic,418,2001,"Drinking water, Available",47.448232771951,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2001,"Drinking water, Limited",0.68639273610698,,"WHO, UNICEF"
Malaysia,458,2001,"Drinking water, At least basic service",92.936720299841,,"WHO, UNICEF"
Malaysia,458,2001,"Drinking water, Basic service",92.0,,"WHO, UNICEF"
Malaysia,458,2001,"Drinking water, Limited",0.56098623923444,,"WHO, UNICEF"
Malaysia,458,2001,"Drinking water, On premises",84.708922124402,,"WHO, UNICEF"
Malaysia,458,2001,"Drinking water, Surface water",2.1,,"WHO, UNICEF"
Malaysia,458,2001,"Drinking water, Unimproved",4.402293460925,,"WHO, UNICEF"
Malaysia,458,2001,"Drinking water, Basic service",96.0,,"WHO, UNICEF"
Malaysia,458,2001,"Drinking water, Limited",0.39600524959196,,"WHO, UNICEF"
Malaysia,458,2001,"Drinking water, Free of contamination",96.821715441613,,"WHO, UNICEF"
Malaysia,458,2001,"Drinking water, Safely managed service",92.0,,"WHO, UNICEF"
Malaysia,458,2001,"Drinking water, On premises",92.697276615217,,"WHO, UNICEF"
Malaysia,458,2001,"Drinking water, Surface water",0.83526782554397,,"WHO, UNICEF"
Malaysia,458,2001,"Drinking water, Unimproved",1.8300630264329,,"WHO, UNICEF"
Malaysia,458,2001,"Drinking water, At least basic service",99.296882459384,,"WHO, UNICEF"
Malaysia,458,2001,"Drinking water, Surface water",0.09,,"WHO, UNICEF"
Malaysia,458,2001,"Drinking water, Unimproved",0.31433053221287,,"WHO, UNICEF"
Malaysia,458,2001,"Drinking water, On premises",97.404564739496,,"WHO, UNICEF"
Malaysia,458,2001,"Drinking water, Limited",0.29878700840337,,"WHO, UNICEF"
Malaysia,458,2001,"Drinking water, Basic service",98.0,,"WHO, UNICEF"
Myanmar,104,2001,"Drinking water, Surface water",19.264934423759,,"WHO, UNICEF"
Myanmar,104,2001,"Drinking water, Unimproved",19.725040138764,,"WHO, UNICEF"
Myanmar,104,2001,"Drinking water, On premises",20.036011966623,,"WHO, UNICEF"
Myanmar,104,2001,"Drinking water, Safely managed service",20.0,,"WHO, UNICEF"
Myanmar,104,2001,"Drinking water, Free of contamination",39.351466407173,,"WHO, UNICEF"
Myanmar,104,2001,"Drinking water, Available",51.553471494668,,"WHO, UNICEF"
Myanmar,104,2001,"Drinking water, Limited",19.86150385578,,"WHO, UNICEF"
Myanmar,104,2001,"Drinking water, Basic service",41.0,,"WHO, UNICEF"
Myanmar,104,2001,"Drinking water, Surface water",5.4723798877069,,"WHO, UNICEF"
Myanmar,104,2001,"Drinking water, Basic service",70.0,,"WHO, UNICEF"
Myanmar,104,2001,"Drinking water, Limited",14.137076202031,,"WHO, UNICEF"
Myanmar,104,2001,"Drinking water, Available",78.729328566517,,"WHO, UNICEF"
Myanmar,104,2001,"Drinking water, Free of contamination",65.579494592584,,"WHO, UNICEF"
Myanmar,104,2001,"Drinking water, Safely managed service",52.0,,"WHO, UNICEF"
Myanmar,104,2001,"Drinking water, On premises",52.839649646453,,"WHO, UNICEF"
Myanmar,104,2001,"Drinking water, Unimproved",9.6899815707873,,"WHO, UNICEF"
Myanmar,104,2001,"Drinking water, Limited",18.304002074318,,"WHO, UNICEF"
Myanmar,104,2001,"Drinking water, Basic service",49.0,,"WHO, UNICEF"
Myanmar,104,2001,"Drinking water, Available",58.947479978827,,"WHO, UNICEF"
