Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaType,GeoAreaName,GeoAreaCode,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Units,Age,Bounds,Frequency,Level_Status,Location,Reporting_Type,Sex,SDG_6_Data_Portal_level
,,6.1.1,,"Drinking water, Available",,Lao People's Democratic Republic,418,2000,36.418575372299,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Available > Rural
,,6.1.1,,"Drinking water, Limited",,Lao People's Democratic Republic,418,2000,0.6295268328474,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Limited service > Rural
,,6.1.1,,"Drinking water, Basic service",,Lao People's Democratic Republic,418,2000,40,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Basic service > Rural
,,6.1.1,,"Drinking water, At least basic service",,Lao People's Democratic Republic,418,2000,,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > At least basic service > Urban
,,6.1.1,,"Drinking water, Basic service",,Lao People's Democratic Republic,418,2000,79,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Basic service > Urban
,,6.1.1,,"Drinking water, Limited",,Lao People's Democratic Republic,418,2000,0.35982943810809,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Limited service > Urban
,,6.1.1,,"Drinking water, Available",,Lao People's Democratic Republic,418,2000,75.635421711116,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Available > Urban
,,6.1.1,,"Drinking water, Free of contamination",,Lao People's Democratic Republic,418,2000,21.413034424405,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Free of contamination > Urban
,,6.1.1,,"Drinking water, Safely managed service",,Lao People's Democratic Republic,418,2000,17,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Overall > Urban
,,6.1.1,,"Drinking water, On premises",,Lao People's Democratic Republic,418,2000,33.095217396903,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > On premises > Urban
,,6.1.1,,"Drinking water, Unimproved",,Lao People's Democratic Republic,418,2000,18.261463130857,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Unimproved > Urban
,,6.1.1,,"Drinking water, Surface water",,Lao People's Democratic Republic,418,2000,4.7234279900113,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Surface water > Urban
,,6.1.1,,"Drinking water, Surface water",,Malaysia,458,2000,0.09,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Surface water > Urban
,,6.1.1,,"Drinking water, At least basic service",,Malaysia,458,2000,99.296882459384,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > At least basic service > Urban
,,6.1.1,,"Drinking water, Basic service",,Malaysia,458,2000,98,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Basic service > Urban
,,6.1.1,,"Drinking water, Limited",,Malaysia,458,2000,0.29878700840337,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Limited service > Urban
,,6.1.1,,"Drinking water, Available",,Malaysia,458,2000,,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Available > Urban
,,6.1.1,,"Drinking water, Free of contamination",,Malaysia,458,2000,,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Free of contamination > Urban
,,6.1.1,,"Drinking water, Safely managed service",,Malaysia,458,2000,,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Overall > Urban
,,6.1.1,,"Drinking water, On premises",,Malaysia,458,2000,97.404564739496,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > On premises > Urban
,,6.1.1,,"Drinking water, Unimproved",,Malaysia,458,2000,0.31433053221287,,"WHO, UNICEF",,,,,,,,Urban,,,6.1.1 Proportion of population using safely managed drinking water services > Unimproved > Urban
,,6.1.1,,"Drinking water, At least basic service",,Malaysia,458,2000,,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > At least basic service > National
,,6.1.1,,"Drinking water, Surface water",,Malaysia,458,2000,0.8542623178094,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Surface water > National
,,6.1.1,,"Drinking water, Unimproved",,Malaysia,458,2000,1.8686950126236,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Unimproved > National
,,6.1.1,,"Drinking water, On premises",,Malaysia,458,2000,92.577302103392,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > On premises > National
,,6.1.1,,"Drinking water, Safely managed service",,Malaysia,458,2000,92,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Overall > National
,,6.1.1,,"Drinking water, Free of contamination",,Malaysia,458,2000,96.764392654698,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Free of contamination > National
,,6.1.1,,"Drinking water, Available",,Malaysia,458,2000,,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Available > National
,,6.1.1,,"Drinking water, Limited",,Malaysia,458,2000,0.39848302915222,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Limited service > National
,,6.1.1,,"Drinking water, Basic service",,Malaysia,458,2000,96,,"WHO, UNICEF",,,,,,,,National,,,6.1.1 Proportion of population using safely managed drinking water services > Basic service > National
,,6.1.1,,"Drinking water, At least basic service",,Malaysia,458,2000,92.936720299841,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > At least basic service > Rural
,,6.1.1,,"Drinking water, Unimproved",,Malaysia,458,2000,4.402293460925,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Unimproved > Rural
,,6.1.1,,"Drinking water, On premises",,Malaysia,458,2000,84.708922124402,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > On premises > Rural
,,6.1.1,,"Drinking water, Safely managed service",,Malaysia,458,2000,,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Overall > Rural
,,6.1.1,,"Drinking water, Free of contamination",,Malaysia,458,2000,,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Free of contamination > Rural
,,6.1.1,,"Drinking water, Available",,Malaysia,458,2000,,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Available > Rural
,,6.1.1,,"Drinking water, Limited",,Malaysia,458,2000,0.56098623923444,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Limited service > Rural
,,6.1.1,,"Drinking water, Basic service",,Malaysia,458,2000,92,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Basic service > Rural
,,6.1.1,,"Drinking water, Surface water",,Malaysia,458,2000,2.1,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Surface water > Rural
,,6.1.1,,"Drinking water, Free of contamination",,Myanmar,104,2000,38.798530635508,,"WHO, UNICEF",,,,,,,,Rural,,,6.1.1 Proportion of population using safely managed drinking water services > Safely managed service > Free of contamination > Rural
