source,location_id,country,latitude,longitude,sample_date,parameter,value,unit,quality
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1986-12-22,Dissolved oxygen,16.29,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1987-01-12,Dissolved oxygen,13.8,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1990-10-01,Dissolved oxygen,9.24,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1989-09-05,Dissolved oxygen,5.92,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1987-03-30,Dissolved oxygen,12.68,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1989-11-06,Dissolved oxygen,7.68,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1987-04-20,Dissolved oxygen,11.5,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1987-04-27,Dissolved oxygen,10.08,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1987-05-11,Dissolved oxygen,9.9,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1987-05-26,Dissolved oxygen,8.02,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1990-01-02,Dissolved oxygen,7.99,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1990-03-05,Dissolved oxygen,8.77,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1990-11-26,Dissolved oxygen,8.3,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1987-08-03,Dissolved oxygen,7.65,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1990-03-26,Dissolved oxygen,7.9,mg/L,
STEWARDS,ARS-MSGC-MSGC_WQ_2-5,,34.2366284,-89.9093076,1990-04-02,Dissolved oxygen,11.34,mg/L,
